Dernier diplôme obtenu,Branche,Semestre,Correcteur médian,Note médian,Note TP,Correcteur final,Note final,Note ECTS
DUT,IM,4,Cor6,3.5,14.4,Cor5,9.0,E
BACCALAURÉAT,IM,2,Cor6,12,12.0,Cor5,13.0,B
BACCALAURÉAT,IM,4,Cor6,7,13.6,Cor5,14.0,C
BACCALAURÉAT,GI,2,Cor6,10,20.0,Cor5,12.0,B
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,2,Cor6,3,5.6,Cor5,5.5,F
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,4,Cor6,10.5,11.2,Cor4,13.5,B
DIPLOME D'INGENIEUR (UNIVERSITAIRE OU NON),GSU,2,Cor6,14,9.6,Cor4,10.5,B
DIPLOME ETAB ETRANGER SECONDAIRE,GI,1,Cor6,5,9.6,Cor4,10.5,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,4,Cor6,14,12.8,Cor4,11.0,B
BACCALAURÉAT,GI,2,Cor6,3.5,11.2,Cor4,6.5,F
BACCALAURÉAT,IM,1,Cor6,8,7.2,Cor4,10.5,D
BTS,GB,2,,ABS,1.6,Cor4,1.0,ABS
DUT,IM,4,Cor6,1.5,8.0,Cor4,1.0,F
DUT,IM,4,Cor6,3,8.0,Cor4,3.5,F
BACCALAURÉAT,GI,2,Cor6,15.5,13.6,Cor4,15.5,A
BACCALAURÉAT,GB,1,Cor6,10,13.6,Cor4,11.0,C
DIPLOME ETAB ETRANGER SUPERIEUR,GB,3,Cor6,9,8.0,Cor4,13.5,C
AUTRE DIPLOME SUPERIEUR,GI,2,Cor6,4.5,13.6,Cor4,11.5,D
BACCALAURÉAT,GI,1,Cor6,9,16.8,Cor4,9.0,C
BACCALAURÉAT,GB,4,Cor6,10,10.4,Cor4,11.0,C
DUT,GI,2,Cor6,11.5,12.0,Cor4,11.0,C
DIPLOME ETAB ETRANGER SUPERIEUR,IM,5,Cor6,16.5,11.2,Cor4,11.5,B
BACCALAURÉAT,IM,5,Cor6,8,7.2,Cor4,8.0,D
DIPLOME ETAB ETRANGER SECONDAIRE,GI,1,Cor6,4,7.2,Cor4,12.5,D
